tile_num,GeoTIFF,geometry,S2 Tile Name
2733,boreal_agb_202302061675663351_2733.tif,"POLYGON ((128.85805713900004 67.39019672700005, 130.28480865500012 66.80568093800008, 128.78908913600003 66.26070883300008, 127.35933503500007 66.83228432800007, 128.85805713900004 67.39019672700005))",52WDV
2734,boreal_agb_202302061675669246_2734.tif,"POLYGON ((130.42332644600003 67.93562327800004, 131.8439230570001 67.33782724300005, 130.28480865500012 66.80568093800008, 128.85805713900004 67.39019672700005, 130.42332644600003 67.93562327800004))",52WDV
2655,boreal_agb_202302061675663078_2655.tif,"POLYGON ((127.36475206300008 67.96351215300007, 128.85805713900004 67.39019672700005, 127.35933503500007 66.83228432800007, 125.86578874300005 67.39224267500003, 127.36475206300008 67.96351215300007))",52WDV
2656,boreal_agb_202302061675660693_2656.tif,"POLYGON ((128.93345304000002 68.52269661500003, 130.42332644600003 67.93562327800004, 128.85805713900004 67.39019672700005, 127.36475206300008 67.96351215300007, 128.93345304000002 68.52269661500003))",52WDV
2654,boreal_agb_202302061675663541_2654.tif,"POLYGON ((125.86578874300005 67.39224267500003, 127.35933503500007 66.83228432800007, 125.92440469300004 66.26266304900008, 124.43341069300004 66.80967574700003, 125.86578874300005 67.39224267500003))",52WDV
2891,boreal_agb_202302061675666250_2891.tif,"POLYGON ((128.72576075100005 65.13340790900003, 130.04102723000005 64.55251997100004, 128.66740751300006 64.00759120000004, 127.34980388000008 64.57691219700007, 128.72576075100005 65.13340790900003))",52WES
2892,boreal_agb_202302061675663598_2892.tif,"POLYGON ((130.1578372990001 65.67822887200003, 131.46833610200008 65.08550044500004, 130.04102723000005 64.55251997100004, 128.72576075100005 65.13340790900003, 130.1578372990001 65.67822887200003))",52WES
2975,boreal_agb_202302061675670196_2975.tif,"POLYGON ((130.04102723000005 64.55251997100004, 131.30259738300003 63.961610488000076, 129.93320622600004 63.42791279000005, 128.66740751300006 64.00759120000004, 130.04102723000005 64.55251997100004))",52WES
2976,boreal_agb_202302061675666264_2976.tif,"POLYGON ((131.46833610200008 65.08550044500004, 132.72329021100006 64.48312654600005, 131.30259738300003 63.961610488000076, 130.04102723000005 64.55251997100004, 131.46833610200008 65.08550044500004))",52WES
3061,boreal_agb_202302061675665460_3061.tif,"POLYGON ((131.30259738300003 63.961610488000076, 132.51285633800012 63.36123469200004, 131.14934872800006 62.83843022100007, 129.93320622600004 63.42791279000005, 131.30259738300003 63.961610488000076))",52WES
2812,boreal_agb_202302061675675221_2812.tif,"POLYGON ((128.78908913600003 66.26070883300008, 130.1578372990001 65.67822887200003, 128.72576075100005 65.13340790900003, 127.3543704440001 65.70367263100007, 128.78908913600003 66.26070883300008))",52WET
2893,boreal_agb_202302061675669618_2893.tif,"POLYGON ((131.64815441100006 66.21068197700004, 132.9511780460001 65.60585613300003, 131.46833610200008 65.08550044500004, 130.1578372990001 65.67822887200003, 131.64815441100006 66.21068197700004))",52WET
2813,boreal_agb_202302061675667372_2813.tif,"POLYGON ((130.28480865500012 66.80568093800008, 131.64815441100006 66.21068197700004, 130.1578372990001 65.67822887200003, 128.78908913600003 66.26070883300008, 130.28480865500012 66.80568093800008))",52WET
